modelNumber,idNumber,Rating
R558UQ-DM542D,"['flipkart', 145L, 'flipkart', 206L]",2
MX7-P670RE-102,"['bestbuy', 952L]",1
MLUQ2LL/A,"['bestbuy', 269L, 'bestbuy', 278L, 'newEgg', 13L]",3
80U20024IH,"['snapdeal', 48L]",1
E5400,"['bestbuy', 129L]",1
"Dell Latitude E6430 Laptop, Intel I5 3320M CPU,  4GB RAM, 320GB HDD, Webcam, Windows 10,  3MW","['newEgg', 1970L]",1
"DELL 12.5"" I5 7300U 8GB 256GB","['newEgg', 525L]",1
PS481C-00D018,"['bestbuy', 1317L]",1
PT463C-0E6060,"['bestbuy', 1350L]",1
20H5009NUS,"['bestbuy', 698L]",1
"Lenovo ThinkPad T470p 20J6001CUS 14"" LCD Notebook - Intel Core i5 (7th Gen) i5-7440HQ Quad-core (4 Core) 2.80 GHz - 8 GB DDR4 SDRAM - 256 GB SSD - Windows 10 Pro 64-bit (English) - 1920 x 1080 - In...","['newEgg', 1313L]",1
W7C06UA#ABL,"['bestbuy', 248L, 'amazon', 285L]",3
"Acer Predator 15 G9-591-74KN Gaming Laptop Intel Core i7 6700HQ (2.60 GHz) 32 GB Memory 1 TB HDD 512 GB SSD NVIDIA GeForce GTX 980M 4 GB 15.6"" Full HD 1920 x 1080 HD Webcam  Windows 10 Home","['newEgg', 2471L]",1
K2L96UA#ABA,"['amazon', 972L]",1
i5567-5802GRY-PCA,"['bestbuy', 1L, 'bestbuy', 196L]",2
"ASUS Chromebook Flip C100PA 10.1"" Laptop with ROCKCHIP RK3288 1.8GHz Quad-Core 1.8GHz Processor","['walmart', 5L]",1
MPXW2LL/A,"['bestbuy', 209L, 'amazon', 293L]",3
Hp Pavilion 15,"['amazon', 374L]",1
15-bg001AX,"['flipkart', 12L]",1
E5-532T-P1CH,"['bestbuy', 1257L]",1
HP V1H02UT Notebook,"['newEgg', 600L, 'newEgg', 693L]",2
NX.GMAAA.001,"['amazon', 225L]",1
MPXU2C/A,"['bestbuy', 621L]",1
X541NA-QC2-CB,"['bestbuy', 640L]",1
ISTR28252,"['bestbuy', 1574L]",1
20H50048US,"['bestbuy', 161L, 'bestbuy', 324L, 'source', 113L]",3
NX.GP8AA.005,"['bestbuy', 1187L]",1
FX553VD-DM324,"['flipkart', 355L]",1
"Lenovo Ultrabook ThinkPad T460s (20F9003CUS) Intel Core i7 6th Gen 6600U (2.60 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 15.6\"" Windows 7 Professional 64-Bit / Windows 10 Pro Downgrade","['newEgg', 2011L, 'newEgg', 2308L, 'newEgg', 2414L]",2
hp 15t,"['amazon', 901L]",1
W2N53UAABA,"['bestbuy', 1380L]",1
NX.MKEAA.003,"['amazon', 467L]",1
E5-532-P4YC,"['bestbuy', 13L, 'bestbuy', 122L]",2
TorF5SE-16L1-139,"['bestbuy', 1170L]",1
"Lenovo Thinkpad T430 Premium Built Business Laptop Computer (Intel Dual Core i5 Up to 3.3 Ghz Processor, 8GB Memory, 320GB HDD, Webcam, DVD, Windows 10 Professional) (Certified Refurbished)","['amazon', 719L]",1
11-r020nr,"['amazon', 1070L]",1
W2M53UA#ABA,"['amazon', 631L]",1
MQD42C/A,"['bestbuy', 30L, 'staples', 281L]",3
E5-575-32XU,"['bestbuy', 112L]",1
NX.VBPAA.001,"['bestbuy', 1654L]",1
PU301LA-XB51-CB,"['newEgg', 1965L]",1
SF114-31-C5NK,"['source', 52L, 'source', 73L]",2
NE46RS1,"['snapdeal', 40L]",1
NX.GE8AA.003,"['bestbuy', 1146L]",1
NX.G55AA.006,"['bestbuy', 519L, 'amazon', 541L]",3
MX5R3-P650HSG-131,"['bestbuy', 1053L]",1
Dell Latitude E7470 Business Ultrabook 14 Inch i7-6600U 16GB DDR4 256GB SSD Windows 10 Pro,"['amazon', 634L]",1
PSD24U-003003,"['amazon', 857L]",1
F5-573T-545K,"['bestbuy', 34L, 'bestbuy', 246L]",2
470 G3 (W0S57UT#ABA),"['newEgg', 213L]",1
80UM0034US,"['source', 190L]",1
NX.MYVAA.006,"['amazon', 510L]",1
V551LA-DH51T,"['newEgg', 194L]",1
13-U132TU,"['snapdeal', 55L]",1
E396 dw5630,"['amazon', 200L]",1
NX.G54AA.016,"['amazon', 56L]",1
MF841LL/A,"['bestbuy', 606L]",1
TorF5SE-16L1-136,"['bestbuy', 272L]",1
13-AC010CA,"['bestbuy', 83L, 'staples', 62L]",3
MNYN2LL/A,"['bestbuy', 335L]",1
TorF5SE-16L1-137,"['bestbuy', 398L]",1
ES1-523-87ME,"['source', 0L]",1
15-an050nr,"['amazon', 892L]",1
FKH-00001,"['amazon', 52L]",1
DELL 2106F LATITUDE 3570 I5 6200U/4GB,"['newEgg', 606L]",1
DM513D,"['flipkart', 68L]",1
1UG29UA#ABL,"['amazon', 22L]",1
SW1-011-131Q,"['bestbuy', 305L]",1
850EB G4 I7/2.7 15.6 8GB 256GB,"['newEgg', 791L, 'newEgg', 1067L]",2
E6420I7DC,"['staples', 40L]",1
GL553VD-DS71-HID9,"['amazon', 290L]",1
SF314-51-34A8,"['bestbuy', 243L, 'bestbuy', 388L]",2
MPXQ2C/A,"['bestbuy', 293L]",1
"HP ProBook x360 11 G1 EE 11.6"" Touchscreen LCD 2 in 1 Netbook - Intel Celeron N3350 Dual-core (2 Core) 1.10 GHz - 4 GB 1FY90UT#A","['newEgg', 481L]",1
"Newest HP ProBook 470 G3 17.3"" Business Notebook - Intel Core i7-6500U, DVD+-RW, 8GB DDR4, 1TB HDD, Windows 7 Professional (Windows 10 Pro License)","['newEgg', 2496L]",1
"Dell XPS 13 13.3"" Infinity Quad HD+ (3200x1800) Touchscreen Notebook, Intel Dual-Core i7 Upto 3.0GHz, 8GB DDR3, 512GB SSD, Wifi, Bluetooth, Windows 10 Professional 64Bit, 2.6lbs, Upto 11 Hours Battery","['amazon', 550L]",1
"DELL 15.6"" E3 1505M","['newEgg', 1646L]",1
Y9F96UTABA,"['bestbuy', 162L]",1
MD711LL/A,"['amazon', 912L]",1
HEWLETT-PACKARD V1G98UT#ABA 820 I5/2.3 4GB 500GB BT W7-W10P 64 SBY,"['newEgg', 441L]",1
LENOVO EN NOTEBOOK TP X260 16G 256 W10D,"['newEgg', 1157L, 'newEgg', 2013L]",2
X4E2-P750DM2-121,"['bestbuy', 667L]",1
Q524UQ-BHI7T15,"['amazon', 216L]",1
"Lenovo ThinkPad L460 20FU0027US 14"" (Twisted nematic (TN)) Notebooks - Intel Core i5 (6th Gen) i5-6300U Dual-core (2 Core) 2.40 GHz","['newEgg', 435L]",1
GL502VS-Q72S-CB,"['bestbuy', 526L]",1
GS73VR 6RF-005CA,"['bestbuy', 578L]",1
"Work Station Lenovo W520 - 15.6"" - Core i7 - 8 GB RAM - 500 GB HDD Webcam Win Pro 10 - 135W AC Adaptor - 90 Day Warranty MAR Loaded","['newEgg', 2183L, 'newEgg', 2332L]",2
V1H64UT#ABA,"['newEgg', 484L]",1
MSI GT73VR Titan,"['newEgg', 379L, 'newEgg', 479L]",2
XPS9360-4060SLV,"['bestbuy', 233L]",1
15-BS008CA,"['bestbuy', 266L]",1
AO1-431-C4XG,"['amazon', 489L]",1
L55W,"['amazon', 488L]",1
Compbook i360,"['snapdeal', 3L]",1
"ASUS 15.6"" Republic of Gamers Strix GL553VD Notebook (Intel i7 Quad Core, 32GB RAM, 2TB SSD, 15.6 Inch FHD (1920X1080), NVIDIA GeForce GTX 1050, DVD Burner, WiFi, Win 10 Pro)","['newEgg', 844L]",1
T4M33UT ABA,"['staples', 139L]",1
15-BW007CA,"['staples', 5L]",1
"Dell i3552 15.6"" Laptop & Office 365 Bundle (Intel Pentium Processor N3710/1TB HDD) - French","['bestbuy', 337L]",1
80U1006DUS,"['bestbuy', 344L]",1
X555QA-RS10-CB,"['source', 3L, 'amazon', 417L]",3
NX.GP6AA.001,"['bestbuy', 1313L]",1
80XH01GEIN,"['snapdeal', 63L]",1
SMART BUY 650 I5-6200U 8GB,"['newEgg', 755L]",1
ThinkPad L440,"['bestbuy', 82L]",1
"Dell Inspiron 15.6"" Touchscreen Laptop - Black (Intel Core i3-7100U/1TB HDD/6GB RAM/Windows 10)","['newEgg', 1147L]",1
"Dell Inspiron 11 3000 11-3162 11.6"" LCD Netbook - Intel Celeron N3060 Dual-core (2 Core) 1.60 GHz - 4 GB DDR3L SDRAM - 32 GB Flash Memory - Windows 10 Home 64-bit (English) - 1366 x 768 - Bali Bl","['newEgg', 28L]",1
CB3-131-C3QF,"['bestbuy', 4L, 'bestbuy', 110L]",2
90NB0B63-M02800,"['newEgg', 1311L]",1
NX.EF2AA.010,"['bestbuy', 361L, 'newEgg', 1076L, 'newEgg', 1183L]",3
DIGITAL SIGNAGE 7IN ANDROID 4.4 BT WL 2YR WARR,"['newEgg', 715L]",1
UX390UA-RH71-CB,"['bestbuy', 296L]",1
14-AK010NR,"['bestbuy', 43L]",1
"Apple MacBook Pro 15"" with Touch Bar, 2.9 GHz Core i7, 512 GB SSD, 16 GB, Radeon Pro 560, MacOS","['staples', 276L, 'staples', 356L]",2
"HP ProBook 640 G3 - 14"" - Core i5 7300U - 4 GB RAM - 500 GB HDD","['newEgg', 434L, 'newEgg', 1584L]",2
Asus NB K556UQ-Q72P-CB 15.6 i7-7500U 12G 1TB GeForce 940MX W10 Retail,"['newEgg', 1291L]",1
UX360CA-C4210T,"['flipkart', 77L]",1
14-ac153TX,"['snapdeal', 8L]",1
850 G3 (V1H18UT#ABA),"['newEgg', 155L, 'newEgg', 227L]",2
CT-ASX451L7-4Q,"['walmart', 183L]",1
"Acer Aspire R3-131T-C0B1 11.6"" Touchscreen LED Notebook - Intel Celeron N3150 Quad-core (4 Core) 1.60 GHz","['newEgg', 192L]",1
NX.VDPAA.002,"['bestbuy', 1562L]",1
AW15R3-7003SLV-PUS,"['bestbuy', 1334L]",1
"Lenovo Laptop ThinkPad T410 Intel Core i5 M620 (2.66 GHz) 4 GB Memory 250 GB HDD Intel HD Graphics Webcam 14.1"" Windows 10 Pro MAR Loaded","['newEgg', 2272L]",1
8440p,"['amazon', 896L]",1
15-BP018CA,"['bestbuy', 182L]",1
AY514TX,"['snapdeal', 86L]",1
X75A-DS51,"['newEgg', 516L]",1
GL553VE-DS74,"['bestbuy', 203L, 'bestbuy', 583L, 'amazon', 88L, 'staples', 96L]",3
80WK001JUS,"['source', 201L]",1
"Lenovo ThinkPad T430 14"" LED Notebook 2349DG3 - Intel® Core™ i5-3360M 2.80GHz - 3.50 GHz - 8GB DDR3 RAM - 240GB Solid State Drive - Windows 7 Professional 64Bit","['amazon', 255L, 'amazon', 612L]",2
"Lenovo ThinkPad P50 20EN001SUS 15.6\"" (In-plane Switching (IPS) Technology) Notebook - Intel Xeon E3-1505M v5 Quad-core (4 Core) 2.80 GHz","['newEgg', 1174L]",1
X541UV-BB71-CB,"['bestbuy', 302L]",1
NX.GNJAA.002,"['bestbuy', 765L]",1
Vivobook,"['amazon', 144L, 'amazon', 146L, 'amazon', 199L, 'amazon', 270L, 'amazon', 376L]",2
K556UA-Q72P-CB,"['bestbuy', 310L]",1
E5440,"['bestbuy', 300L, 'source', 87L]",3
X205T,"['amazon', 377L]",1
NX.MZ8AA.012,"['amazon', 326L]",1
X551MAV-EB01-B(S),"['newEgg', 404L]",1
R5-571TG-546L,"['bestbuy', 637L]",1
LI351568W,"['snapdeal', 35L]",1
TMP 246,"['snapdeal', 80L]",1
UX330UA-FB132T,"['flipkart', 265L]",1
ES1-531-C6FQ,"['amazon', 345L]",1
E402SA-DS01-BL,"['newEgg', 1992L]",1
SMART BUY 1040 G3 I5-6300U 2.4G 8GB 256GB SSD 14IN W7 64BIT,"['newEgg', 1582L]",1
Acer Chromebook CB3-532-C6T1,"['walmart', 17L]",1
MLH82LL/A,"['staples', 292L]",1
TP500LA-WH71T(WX),"['newEgg', 2383L]",1
R5-571T-5773,"['bestbuy', 19L]",1
15-AY028CA,"['bestbuy', 125L, 'bestbuy', 187L]",2
FJZ-00001,"['amazon', 32L]",1
"DELL Laptop E6420 Intel Core i5 2520M (2.50 GHz) 12 GB Memory 240 GB SSD 14.0"" Windows 7 Professional 64-Bit","['newEgg', 2440L]",1
SF713-51-M90J,"['bestbuy', 259L, 'newEgg', 59L]",3
W0S98UTABA,"['bestbuy', 279L]",1
UX360CA-UBM2T-GD,"['amazon', 339L]",1
Asus NB T102HA-QC2-CB 10.1 Atom X5-Z8350 4G 128G eMMC Touch W10 Gray Retail,"['newEgg', 1144L]",1
S1002-15XR (NT.G53SI.001),"['snapdeal', 116L]",1
DAHD10017,"['bestbuy', 1392L]",1
DAHD10011,"['bestbuy', 1375L]",1
"Lenovo Thinkpad T430 Laptop, Intel I5 3320M CPU,  4GB RAM, 320GB, Webcam, Windows 10, 3MW","['newEgg', 1993L, 'newEgg', 2337L]",2
SF713-51-M51W,"['amazon', 231L]",1
HOL16-E050,"['staples', 30L]",1
DAHD10018,"['bestbuy', 1484L]",1
"DELL Laptop Latitude E6430S Intel Core i5 3320M (2.60 GHz) 8 GB Memory 120 GB SSD Intel HD Graphics 4000 14.0"" Windows 10 Pro 64-Bit","['newEgg', 2436L, 'newEgg', 2442L, 'newEgg', 2462L]",2
LATITUDE 5580 15IN FHD I7-7820H,"['newEgg', 769L]",1
"HIDevolution ASUS ROG Strix GL703VD-WB71-HID11 w/ FREE IC Diamond on CPU+GPU - Optimal System Temperatures 17.3"" Ultimate Gaming Laptop (PCIE 1T+1T SSD/32G RAM/FHD/7700HQ/1050)","['amazon', 1144L]",1
I7579-7595GRY-PUS,"['amazon', 355L]",1
80Q000C0US,"['amazon', 197L, 'source', 192L]",3
NX.GDDAA.002,"['bestbuy', 551L]",1
"DELL 15"" I5 7300U 8GB, 128GB","['newEgg', 1666L]",1
"HP EliteBook 2170p Laptop, 11.6"" Display, Intel Core i5, 8GB RAM, 250GB HDD!","['newEgg', 2205L]",1
NT.LCEAA.009,"['bestbuy', 150L]",1
"Lenovo ThinkPad X1 Yoga 20JD004UUS 14"" Touchscreen LCD 2 in 1 Ultrabook - Intel Core i7 (7th Gen) i7-7500U Dual-core (2 Core) 2.70 GHz - 8 GB LPDDR3 - 512 GB SSD - Windows 10 Pro 64-bit (English) -...","['newEgg', 462L, 'newEgg', 903L]",2
K5F87UA#ABL,"['amazon', 968L]",1
AC130CA,"['amazon', 304L]",1
HP SMART BUY ELITEBOOK 755 G4,"['newEgg', 622L]",1
X751NA-QP2-CB,"['newEgg', 1383L]",1
X202E-DH31T-PK,"['newEgg', 1466L]",1
W2N49UA#ABA,"['amazon', 825L]",1
AW15R3-7338SLV-PUS,"['bestbuy', 39L]",1
15-AY020TU (W6T34PA),"['snapdeal', 218L]",1
20GL0000US,"['bestbuy', 245L]",1
MLH12HN/A,"['flipkart', 362L]",1
V1P74UTABA,"['bestbuy', 113L]",1
"ROG Strix GL702VM 17.3"" G-SYNC VR Ready Thin and Light Gaming Laptop NVIDIA GTX 1060 6GB Intel Core i7-7700HQ 16GB DDR4 128GB SSD 1TB 5400RPM HDD Win 10 Home","['newEgg', 1380L]",1
15-ac156TX (P6M76PA),"['snapdeal', 236L]",1
"Lenovo x201t 12 inch Tablet Laptop i72.13Ghz, 4G DDR3, 320G HDD, No Optical DRive, Windows 10 Professional 64 Bits, AC adapter and Battery, Built in Webcam & Wifi, 90 days warranty","['newEgg', 2389L]",1
"Acer Aspire R3-131T-C3PV 11.6"" Touchscreen LED Notebook - Intel Celeron N3060 Dual-core (2 Core) 1.60 GHz","['newEgg', 1191L]",1
i3162-2040BLU,"['amazon', 148L, 'newEgg', 57L]",3
80UD00V2US,"['amazon', 237L]",1
80ST0025US,"['staples', 25L]",1
80QQ00E6US,"['bestbuy', 214L, 'amazon', 787L]",3
K4L00UT#ABA,"['source', 41L]",1
A540LJ-DM668D,"['flipkart', 313L]",1
470 G3 (Y1X32UT#ABA),"['newEgg', 65L, 'newEgg', 1167L]",2
E6330,"['bestbuy', 149L, 'bestbuy', 265L]",2
"Acer NX.GK9AA.011 Spin SP315-51-3684 15.6"" FHD Touch Notebook (Core i3-6100U, 6GB RAM, 1TB HDD) Windows 10","['walmart', 101L]",1
MNYN2C/A,"['bestbuy', 926L]",1
LATITUDE 7480 14 FHD I7-7600U,"['newEgg', 205L]",1
PE62 7RD,"['flipkart', 6L]",1
15-AY138CA,"['bestbuy', 238L]",1
RZ09-01953E73-R3U1,"['amazon', 51L]",1
CF-52VAABY1M,"['newEgg', 675L]",1
i7779-10017GRY,"['bestbuy', 103L, 'bestbuy', 181L]",2
MSI GT72 2QE Dominator Pro G (Dragon edition) (GTX 980M 8GB GDDR5) Laptop with Multi color Backlight,"['snapdeal', 162L]",1
12-C012DX,"['amazon', 317L]",1
"Lenovo ThinkPad X230 Laptop, 12.5""Display, Core i5, 4GB RAM, 320GB HDD, Win 10!","['amazon', 302L]",1
