P916BK,"['bestBuy', 43L]"
"ASUS Transformer Pad Infinity TF700T-B1-GR NVIDIA Tegra 3 1GB DDR3 Memory 32GB eMMC Flash 10.1"" Tablet PC Android 4.0 (Ice Cream Sandwich)","['newEgg', 505L]"
MC769LL/A,"['bestBuy', 87L, 'overStock', 0L]"
P469,"['flipkart', 63L]"
"2017 Industrial Rugged Tablet PC Windows 10 Ultra Slim Design Waterproof Phone Dustproof Shockproof 8"" 2G RAM U-Blox GPS","['amazon', 213L]"
T102HA-D4-GR,"['amazon', 5L]"
ML0Q2CL/A,"['bestBuy', 243L]"
107,"['amazon', 420L]"
3G Q45i,"['flipkart', 152L, 'flipkart', 181L]"
T8Z05UTABA,"['bestBuy', 270L]"
"ASUS ZenPad Z170C-A1-BK TabletIntel Atom x3-C3200 1.2 GHz 1 GB Memory 16 GB eMMC 7.0\"" IPS 1024 x 600 Touchscreen  0.3 MP Front / 2 MP Rear Camera Android 5.0 (Lollipop)","['newEgg', 97L, 'newEgg', 217L, 'newEgg', 338L, 'newEgg', 462L]"
"Dell Commercial - K61k8 - 10.8"" Core M5 6Y57 8Gb 256Gb","['overstock', 59L]"
MH1J2HN/A,"['flipkart', 131L]"
The Joy Factory CWA208 The Joy Factory aXtion Edge for iPad Air - iPad Air - Red Honeycomb - Silicone - 48 Drop Height,"['overstock', 68L]"
ML3Z2LL/A,"['bestBuy', 26L]"
"Apple iPad Air MF529LL/A Apple A7 1 GB Memory 32 GB Flash Storage 9.7"" 2048 x 1536 Grade A Tablet (Wi-Fi + Cellular) iOS White","['newEgg', 492L]"
iPad Air 2 Wi-Fi 16 GB,"['flipkart', 90L]"
ME860LL/A,"['bestBuy', 171L]"
SM-T530NZWAXAR,"['amazon', 310L, 'overStock', 103L]"
E-Replacements - Mc769ll/A-Er - Ipad 2 16Gb Black Refurb,"['overstock', 113L]"
SM-T560NZKU,"['amazon', 84L, 'newEgg', 203L, 'newEgg', 325L, 'newEgg', 441L, 'newEgg', 543L]"
slide cuddle A4 ,"['snapdeal', 51L, 'snapdeal', 52L]"
MLPX2HN/A,"['flipkart', 38L]"
Snap 4G2 ,"['snapdeal', 44L]"
ST8600,"['amazon', 435L]"
Apple The new iPad 3rd Gen (64 GB) with Wi-Fi - Black - MC707LL/A,"['newEgg', 539L]"
ML0N2LL/A,"['bestBuy', 145L, 'bestBuy', 295L]"
"Smart Study Tab, Class 6th, EW-200","['flipkart', 207L]"
"Support réglable pour pare-brise voiture ajustable pour tablettes tactiles Samsung Galaxy Tab S 10.5"" Wi-Fi (SM-T800) et 4G & Wi-Fi (SM-T805) Android 4.4 Kitkat","['amazon', 293L]"
TRIO 4.3 MID 4.0C,"['amazon', 223L]"
"Indigi® NEW! 7"" Android 4.4 KK Tablet PC 3G Wireless Phone Function & Google Play Store","['newEgg', 184L]"
MQF02CL/A,"['bestBuy', 73L]"
ZA090094US,"['bestBuy', 92L, 'newEgg', 11L]"
"Indigi® 2-in-1 Phablet 7"" Android 4.4 Tablet PC 3G Smartphone Can Use It As Phone","['newEgg', 347L]"
"Wenger 28016050 Wenger SHERPA Carrying Case (Backpack) for 16 Notebook - Gray - Foam - Shoulder Strap, Trolley Strap,","['overstock', 35L]"
"Zeepad 7DRK-Q Tablet - 7"" - 512 MB DDR3 SDRAM - Allwinner Cortex A7 A","['overstock', 61L]"
MP2J2HN/A,"['flipkart', 121L]"
SM-T580-BLK,"['newEgg', 467L]"
TZ6-00001,"['bestBuy', 75L]"
SM-T550NZAAXAR,"['amazon', 4L, 'overStock', 5L]"
MK9Q2LL/A,"['amazon', 59L]"
"TS Miix 700 M7 12"""" 8GB 256GB","['newEgg', 107L]"
UNI 17.7cm Dual Sim 3G Dual Core HD Tablet 2+5 MP Camera Android 4GB  ,"['snapdeal', 26L]"
Indigi® White 7.0-inch Phablet Tablet PC 3G Smart Phone WiFi GSM Unlocked AT&T T-Mobile,"['newEgg', 382L, 'newEgg', 401L, 'newEgg', 468L, 'newEgg', 486L]"
FJT-00001,"['bestBuy', 7L]"
N4 ,"['snapdeal', 0L, 'snapdeal', 10L, 'snapdeal', 40L]"
MPGT2LL/A,"['amazon', 111L]"
MQDD2CL/A,"['bestBuy', 281L]"
GT-810-15NC,"['amazon', 154L]"
Yt3-850m,"['flipkart', 5L]"
MP1L2CL/A,"['bestBuy', 218L]"
MD513LL/A,"['bestBuy', 33L, 'amazon', 392L]"
VISUAL LAND PRESTIGE 10QS 16GB TABLET W/KEYBOARD PRP,"['newEgg', 152L, 'newEgg', 387L, 'newEgg', 487L]"
10XR-Q1-BLK,"['newEgg', 131L, 'newEgg', 131L]"
Slide Wings 4GP,"['flipkart', 26L]"
HI10,"['amazon', 175L]"
FJZ-00001,"['bestBuy', 107L]"
GT-P5113TSYXAR,"['amazon', 507L]"
F666,"['flipkart', 59L]"
63114-1041,"['amazon', 297L]"
RCT6203W46-BLACK,"['bestBuy', 128L]"
MLMW2CL/A,"['bestBuy', 174L]"
SM-T813NZKEXAC,"['bestBuy', 284L, 'source', 19L, 'newEgg', 421L, 'newEgg', 389L, 'newEgg', 467L]"
"SAMSUNG 9.7"" Galaxy Tab S2 SM-T813NZDEXAC Quad-core 1.8 GHz + Quad-core 1.4 GHz Processor 3 GB Memory 32 GB Flash Storage Android 6.0 (Marshmallow) Tablet","['newEgg', 466L, 'overstock', 128L]"
Hama Photo U6126739 Folio Style Case Black w/ Dirt Resistant Interior for Samsung Galaxy Tab 4 8.0,"['overstock', 48L]"
XB270H Abprz,"['amazon', 376L]"
M812,"['amazon', 214L]"
MP1J2CL/A,"['bestBuy', 94L]"
MPGT2CL/A,"['bestBuy', 17L]"
A88K Pro,"['amazon', 509L]"
iBall Slide 3G 1026-Q18,"['flipkart', 168L]"
80U1006EUS,"['amazon', 205L]"
SM-T377AZKAATT,"['amazon', 514L]"
Ipad air 2,"['flipkart', 127L, 'flipkart', 133L]"
MM1A2LL/A,"['bestBuy', 256L]"
SM-T560NZWU,"['amazon', 54L]"
MD518C/A,"['amazon', 251L]"
ML0G2CL/A,"['bestBuy', 175L]"
YT3-X50L 4G,"['flipkart', 88L]"
CR3-00001,"['amazon', 34L, 'amazon', 115L]"
PDW0AC-006014,"['amazon', 384L]"
EGQ347BL,"['source', 52L, 'newEgg', 391L, 'newEgg', 93L, 'overstock', 8L]"
"iRULU 10.1"" eXpro X1 Plus Tablet PC Allwinner A33 Android 6.0 Bluetooth 4.0 1024*600 Quadcore Tablets 5500mAh Battery With 10"" Keyboard Case 4 colors","['newEgg', 26L, 'newEgg', 29L]"
TPPOS-ATAB-SIRCLE,"['amazon', 231L]"
Premiertek CS-IPAD3-BK Premiertek Smart Case Carrying Case (Folio) for iPad,"['overstock', 79L]"
"iBall 6351-Q40 8GB Wifi,Tablet","['snapdeal', 46L]"
P3W-00001,"['amazon', 121L]"
MAIN-94318,"['amazon', 471L]"
MQ2-00019,"['amazon', 463L]"
Twinkle i5,"['flipkart', 105L]"
HP W5X38UT 280 G2 Small Form Factor Desktop PC - 1 X Core I5 6500 / 3.2 Ghz - Ram 4 Gb - Hdd 500 Gb - Dvd Supermulti - Hd Graphics 530 - Gige - Win 10 Pro 64-Bit - Energy Star,"['newEgg', 211L, 'newEgg', 458L, 'newEgg', 553L]"
JG925A#ABA,"['amazon', 337L]"
"Indigi® 7.0"" Android 4.4 DualCore Tablet PC Phablet 3G GSM Phone Bluetooth WiFi Unlocked","['newEgg', 248L, 'newEgg', 298L, 'amazon', 534L]"
ML0G2LL/A,"['bestBuy', 236L]"
"Indigi® 7"" Android 4.4 Tablet PC 3G GSM Wireless Phone Feature + Free Memory Card 32GB!","['newEgg', 180L, 'newEgg', 191L, 'newEgg', 289L]"
"Codi C30702007 Codi Smitten 3.0 Carrying Case (Folio) for 9.7 iPad Air, Stylus, Pen, Business Card - Black - Bump","['overstock', 83L]"
ME70C-8G-BK,"['bestBuy', 264L]"
ME279LL/A,"['bestBuy', 212L, 'amazon', 73L, 'amazon', 367L]"
MID8125-4G,"['amazon', 464L]"
CR7-00001,"['amazon', 28L]"
"Vanquisher 10-Inch Rugged Tablet, Windows 10 / Intel Atom Quad Core CPU / Anti-scratch Corning Gorilla Panel / IP65 / U-blox GPS Module, For Field Applications","['amazon', 336L]"
MK882LL/A,"['bestBuy', 280L]"
PT-ELITE-UL-RC,"['amazon', 137L]"
B1-850-K1KK,"['newEgg', 156L, 'newEgg', 156L]"
MD370LL/A,"['bestBuy', 228L]"
LG-V497,"['amazon', 218L]"
MNVR2HN/A,"['flipkart', 129L]"
EWT935DK,"['source', 48L, 'newEgg', 370L, 'newEgg', 85L]"
ST707,"['amazon', 478L]"
Q1010MGT,"['bestBuy', 24L]"
ME10QS16GBKCRED,"['source', 34L, 'newEgg', 108L, 'newEgg', 387L]"
MNV72CL/A,"['bestBuy', 68L]"
GT-N8013ZWYXAR,"['amazon', 410L]"
R7-372T-75LX,"['amazon', 298L]"
Galaxy Tab A,"['newEgg', 41L, 'newEgg', 41L]"
MD510LL/A,"['bestBuy', 307L, 'amazon', 424L]"
EW-200,"['flipkart', 191L]"
LYSB01L1HWFBC-ELECTRNCS,"['amazon', 60L]"
Panasonic TBCCOMUNV-P Notebook Carrying Case Includes Shoulder Strap New,"['overstock', 94L]"
K020007,"['amazon', 258L]"
Indigi® 7.0in Android 4.4 Tablet PC 3G SmartPhone 2-in-1 UNLOCKED AT&T / T-Mobile,"['newEgg', 344L, 'newEgg', 371L, 'newEgg', 385L, 'newEgg', 390L, 'newEgg', 437L]"
EGS004-PN,"['amazon', 472L]"
DD-1GB,"['flipkart', 123L]"
SM-T550NZWE,"['overStock', 33L]"
CHDHA-301,"['amazon', 74L]"
RD2-00060,"['amazon', 225L]"
Frozen,"['flipkart', 187L]"
Kids Smart Tablet 6 to 8 with Orange Bumper,"['flipkart', 211L]"
"SAMSUNG TAB S (T807A) 10.5"", BLACK,3GB RAM, 16 GB UNLOCKED","['newEgg', 532L]"
ML0R2CL/A,"['bestBuy', 104L, 'bestBuy', 271L]"
ML0H2LL/A,"['bestBuy', 231L]"
FJX-00001,"['bestBuy', 22L]"
MPMH2HN/A,"['flipkart', 33L]"
MD516LL/A,"['bestBuy', 274L]"
Kids Smart Tablet 6 to 8 with Blue Bumper,"['flipkart', 83L]"
SM-T560NZKUXAC,"['bestBuy', 117L, 'source', 5L, 'source', 6L]"
SNBJR-MT5C,"['amazon', 530L]"
HP-i7-1TB-Desktop,"['amazon', 373L]"
Morphus X300,"['amazon', 568L]"
M706T,"['amazon', 380L]"
PU2-00001,"['amazon', 238L]"
M753,"['amazon', 152L, 'amazon', 0L, 'amazon', 18L, 'amazon', 49L, 'amazon', 104L, 'amazon', 141L, 'amazon', 179L]"
N5 ,"['snapdeal', 20L, 'snapdeal', 42L]"
LGV400.AUSAWH,"['newEgg', 414L, 'newEgg', 414L]"
MF121LL/A,"['bestBuy', 166L]"
ML0U2CL/A,"['bestBuy', 204L]"
SM-W700NZKAXAR,"['amazon', 125L]"
MC979LL/A,"['amazon', 428L]"
EGQ377RD,"['source', 50L]"
"Indigi® 7"" Android 4.4 KitKat Tablet PC 3G Wireless Smartphone 2-in-1 Phablet ~White~","['newEgg', 316L, 'newEgg', 348L, 'newEgg', 422L]"
eXpro X1s,"['amazon', 180L, 'amazon', 194L, 'amazon', 335L, 'amazon', 113L]"
S7 Pro,"['amazon', 57L]"
iview-895qw,"['amazon', 379L]"
AQ-700,"['flipkart', 158L]"
9XN-Q-WHT,"['newEgg', 7L, 'newEgg', 7L]"
"Targus THZ595GL Targus 3D Protection THZ595GL Carrying Case for iPad mini, iPad mini 2, iPad mini 3 - Black","['overstock', 81L]"
Samsill 35025 Samsill Vintage Carrying Case for 7.9 Tablet - Tan - Polyvinyl Chloride (PVC),"['overstock', 34L]"
B102,"['amazon', 17L]"
MPA62HN/A,"['flipkart', 37L]"
22002002,"['overStock', 82L]"
6.07E+11,"['amazon', 37L, 'amazon', 362L]"
iPad mini 3 Wi-Fi + Cellular 16GB,"['flipkart', 126L, 'flipkart', 132L, 'flipkart', 200L]"
ML0R2LL/A,"['bestBuy', 246L]"
Y88X PLUS KIDS BL,"['amazon', 39L]"
FGH-00001,"['bestBuy', 100L]"
i7559-7512GRY,"['amazon', 405L]"
"EMATIC 7.9"" 8GB HD IPS ANDROID 4.4 GP","['newEgg', 169L]"
SM-T111NYKAINS,"['flipkart', 137L, 'overstock', 14L, 'overstock', 25L, 'overstock', 43L, 'overstock', 76L, 'overstock', 93L]"
MGTY2HN/A,"['flipkart', 18L]"
i3168-0028BLU,"['amazon', 207L]"
2760P,"['newEgg', 500L]"
P701 ,"['snapdeal', 31L, 'snapdeal', 39L]"
SM-T350NZAAXAC,"['bestBuy', 67L, 'source', 1L]"
VISUAL LAND ME8QIBP16GBBLK 8QI 8IN 16GB ANDROID LOLLIPOP,"['newEgg', 86L]"
MLMN2LL/A,"['amazon', 153L, 'overStock', 17L]"
SM-T350NZAAXAR,"['amazon', 14L]"
"Apple MC769LL/A 16 GB 9.7"" iPad with Wi-Fi - Black (2nd Generation)","['newEgg', 499L]"
MQDA2CL/A,"['bestBuy', 34L]"
Created X10S best selling 10-inch IPS screen HD quad-core 10.1-inch dual sim 3G mobile tablet computer 1280 * 800 screen resolution(white),"['newEgg', 415L]"
"Indigi® A76s Android 4.4 KitKat 7.0"" Tablet PC Support 3G Wireless Smart Phone","['newEgg', 424L]"
:713839160172,"['amazon', 193L]"
MLQ32LL/A,"['bestBuy', 156L]"
PLT9999GK,"['source', 74L]"
"Targus THD459US Targus SafePort THD459US Carrying Case for Tablet - Black - Shock Absorbing, Damage Resistant, Dust Resistant,","['overstock', 88L]"
"Indigi® 7"" Android 4.4 KK Tablet PC w/ Sim Card Slot for 3G Wireless SmartPhone UNLOCKED","['newEgg', 384L, 'newEgg', 395L]"
N4 - 8GB VoLTE ,"['snapdeal', 50L]"
i7559-763BLK,"['amazon', 268L]"
HP 10 G2 2301 10.1 Tablet 1.3 GHz ARM Cortex-A7 1GB DDR3 16GB eMMC Android 5.0,"['overstock', 39L]"
SM-T116nykyins,"['flipkart', 76L]"
EGD172BL,"['newEgg', 469L, 'newEgg', 469L]"
SC-999,"['newEgg', 160L, 'newEgg', 160L]"
Q-1010,"['amazon', 212L, 'amazon', 230L, 'amazon', 342L]"
MH2W2LL/A,"['bestBuy', 1L]"
Brisk 4G2 ,"['snapdeal', 1L]"
MLYJ2LL/A,"['bestBuy', 28L]"
101,"['newEgg', 68L, 'newEgg', 68L]"
K1 white,"['flipkart', 153L]"
EGQ307,"['newEgg', 56L, 'newEgg', 56L]"
ME7QLBP16GBRYL,"['source', 58L]"
ET701,"['flipkart', 42L, 'flipkart', 50L]"
ML2N2CL/A,"['bestBuy', 138L]"
MPGW2CL/A,"['bestBuy', 112L]"
P270L WHITE,"['amazon', 557L]"
"inDigi® NEW! 7"" Android 4.2 JB Tablet PC w/ Wireless Phone Function + Free Keyboard Case","['newEgg', 174L]"
ZA1U0003US,"['bestBuy', 32L, 'bestBuy', 234L]"
SK70M,"['amazon', 521L]"
kb-008,"['amazon', 397L]"
UX360CA-UBM1T,"['amazon', 317L]"
ARMTBLTUGN,"['amazon', 433L]"
ADRAD64GKLPRG,"['amazon', 552L]"
MLYJ2CL/A,"['bestBuy', 36L, 'bestBuy', 250L]"
Created X8S best selling 8.0-inch IPS screen HD quad-core 8.0-inch dual sim 3G mobile tablet computer 1280 * 800 screen resolution,"['newEgg', 406L, 'newEgg', 410L]"
XE500C13-K02US,"['amazon', 519L]"
DTHW1310E,"['amazon', 83L]"
MPGW2LL/A,"['amazon', 157L]"
SM-T820NZKAXAC,"['bestBuy', 2L, 'bestBuy', 249L, 'source', 21L]"
K107-CG,"['amazon', 78L]"
UbiSlate 7CZ,"['flipkart', 185L]"
SM-T820NZKAXAR,"['newEgg', 15L, 'newEgg', 15L, 'newEgg', 202L, 'newEgg', 326L, 'newEgg', 445L, 'newEgg', 545L]"
SM-T377WZKAXAC,"['bestBuy', 137L, 'bestBuy', 220L]"
SM-T560NZKUXAR,"['amazon', 387L, 'overStock', 1L]"
"SAMSUNG 10.1"" SM-T580NZWAXAC 1.60 GHz 2 GB Memory 16 GB Flash Storage Android 6.0 (Marshmallow) Tablet PC - Tablets","['newEgg', 369L, 'newEgg', 383L]"
Q-1010RD,"['amazon', 188L]"
Slate 8  ,"['snapdeal', 56L]"
AQ-700 ,"['snapdeal', 17L]"
DELL Desktop Computer OptiPlex 5040 (MRR81) Intel Core i5 6th Gen 6500 (3.20 GHz) 8 GB DDR3L 500 GB HDD Windows 7 Professional (Includes Windows 10 Pro License),"['newEgg', 215L, 'newEgg', 330L, 'newEgg', 559L]"
Classes 5 to 8,"['flipkart', 138L]"
CDS610S,"['amazon', 216L]"
CB3-131-C3SZ,"['amazon', 574L]"
M80TA-B1-BK,"['newEgg', 481L, 'newEgg', 481L]"
Intermec 815-075-001 Intermec 815-075-001 Carrying Case (Holster) for Handheld PC - Handle,"['overstock', 133L]"
ID436WTA,"['amazon', 316L]"
SH-0010,"['flipkart', 182L]"
Microsoft Office Home & Student 2016 (PC) - English,"['amazon', 96L]"
PC769LL/A,"['amazon', 8L]"
MF016LL/A,"['bestBuy', 96L]"
Max Cases AP-SC-IPM-6-BLK Case,"['overstock', 38L]"
"Apple iPad Air MD529LL/A , 32 GB,  WIFI + 3G (Rogers, Bell, AT&T), White with Silver","['newEgg', 521L, 'newEgg', 525L]"
"DURAGADGET Etui rose et clavier intégré AZERTY (français) pour tablettes Samsung Galaxy Tab 4 10.1"" SM-T530 et SM-T533 (Wi-FI 2015) aspect cuir + stylet tactile BONUS - Garantie 2 ans","['amazon', 352L]"
fx970,"['amazon', 300L, 'amazon', 144L, 'amazon', 195L, 'amazon', 236L, 'amazon', 259L, 'amazon', 261L, 'amazon', 347L]"
7AX-00001,"['bestBuy', 144L]"
"Apple iPad Pro 32 GB Tablet - 9.7"" - Retina Display, In-plane Switching (IPS) Technology - Wireless LAN - Apple A9X Dual-core (2 Core) - Space Gray","['newEgg', 411L]"
MNWQ2LL/A,"['bestBuy', 136L]"
B1-790-K21X,"['newEgg', 167L, 'newEgg', 167L]"
"Urban Factory SUR02UF Urban Factory Elegant Carrying Case (Folio) for Tablet - Black - Simili Leather, Synthetic","['overstock', 111L]"
AX51R3-6510BLK,"['amazon', 360L]"
"HP Elite x3 (X9U42UT#ABA) Tablet Qualcomm Snapdragon 820 (2.15 GHz) 4 GB Memory 64 GB eMMC 5.96"" 2560 x 1440 Touchscreen Windows 10 Mobile, Desk Dock Included","['newEgg', 58L]"
F111,"['flipkart', 144L]"
B3-A30-K94F,"['bestBuy', 82L, 'bestBuy', 247L, 'amazon', 122L]"
ME9W32GBBLK,"['bestBuy', 85L, 'source', 55L]"
01SG0092PK,"['amazon', 545L]"
SM-T355YZWAINS,"['flipkart', 116L, 'flipkart', 212L]"
ME9W32GBBLU,"['bestBuy', 110L, 'source', 28L, 'newEgg', 109L, 'newEgg', 483L]"
TS-680,"['amazon', 385L]"
"Marcum RT-9 Ruggedized Android Tablet with GPS, 9-Inch","['newEgg', 135L]"
SM-T813NZWEXAR,"['newEgg', 18L, 'newEgg', 18L]"
ML0H2CL/A,"['bestBuy', 258L]"
S1-3,"['amazon', 239L]"
"ASUS Zenpad 8 Z380M-A2-GR Tablet MTK MT8163 (1.30 GHz) 2 GB LPDDR3 16 GB eMMC 8.0"" IPS Touchscreen 1280 x 800 2 MP Front / 5 MP Rear Camera Android 6.0 (Marshmallow)","['newEgg', 3L]"
Samsung Galaxy Tab A Tablet Quad-core Processor 1.5 GB Memory 8 GB Flash Storage Android 5.1 (Lollipop),"['newEgg', 70L, 'newEgg', 356L]"
S7-Q,"['newEgg', 398L, 'newEgg', 398L]"
IC-TC04,"['amazon', 50L]"
BM Kids Tablet 8G 512M 7 inch Android 4.4 iWawa Pre-Installed with Games App and Audio Book (Pink)),"['amazon', 556L]"
J4Y28AA#ABL,"['amazon', 516L]"
ME-8Q-8GB-BLK,"['newEgg', 168L, 'newEgg', 168L]"
MLQ52CL/A,"['bestBuy', 15L]"
"Indigi® Phablet 7"" LCD Slim Tablet Phone - Support 3G Wireless AT&T T-Mobile Straightalk","['newEgg', 474L]"
ML3W2LL/A,"['bestBuy', 66L]"
MPF22CL/A,"['bestBuy', 134L]"
Indigi® UNLOCKED! 7.0in Android 4.4 Tablet PC 3G+WiFi Smart Phone w/ Dual Sim Card Slots,"['amazon', 369L]"
MC979LL/A-ER,"['bestBuy', 301L]"
CHUWI-Hi8-Pro,"['amazon', 186L]"
"Apple iPad Air MD788LL/B 16 GB Tablet - 9.7"" - In-plane Switching (IPS) Technology, Retina Display - Wireless LAN - Apple A7 Dual-core (2 Core) 1.30 GHz - Silver - iOS 7 - Slate - 2048 x 1536 ...","['newEgg', 506L]"
Revolve 810 G3,"['newEgg', 313L, 'newEgg', 374L, 'newEgg', 313L, 'newEgg', 374L]"
MD788LL/B,"['amazon', 487L, 'newEgg', 506L]"
"Apple iPad 9.7"" Wi-Fi 32 GB - Gold, 2017","['newEgg', 535L]"
NS-P11W7100-C,"['bestBuy', 177L, 'bestBuy', 222L]"
Q45i,"['flipkart', 140L]"
Wireless Controller Dualshock 4 Magma Red (Japan Import) [Playstation 4],"['amazon', 465L]"
M1050,"['newEgg', 71L, 'newEgg', 71L]"
"PlayStation Move Motion Controllers - Two Pack(US Version, Imported)","['amazon', 330L]"
"Ouku® A23 7"" Dual Core, Dual Camera, Dual Core, Capacitive Touch Screen Android 4.2 Tablet Pc (Blue),Best Sellers as Kids GIFT","['amazon', 517L]"
ME11QKC32MAG,"['source', 66L]"
MK6L2LL/A,"['bestBuy', 95L]"
N3 with Keyboard,"['flipkart', 172L]"
"Indigi® 2-in-1 Tablet PC + Unlocked 3G Phone 7"" Touch Screen Android 4.4 Kitkat","['newEgg', 183L, 'newEgg', 193L]"
1012 G1 (W0R93UT#ABL),"['newEgg', 48L, 'newEgg', 48L]"
ML0T2CL/A,"['bestBuy', 288L]"
T6S98UA#ABL,"['amazon', 211L, 'newEgg', 138L]"
BOOX C67ML CARTA,"['flipkart', 93L]"
27UD68-P,"['amazon', 494L]"
B3-A30-K5PJ,"['source', 3L, 'newEgg', 60L, 'newEgg', 476L]"
IVIEW-796TPC,"['newEgg', 148L, 'newEgg', 148L]"
Apple Ipad Pro Wi-fi Cell A9x 12.9in 128gb ios 9 gold,"['amazon', 480L]"
"10.1 Inch Android Google Tablet PC 4.2.2 16GB 1GB DDR3 All Winner A20 Dual Core Cameras Capacitive Screen 1024*600 Resolution 1.5GHz WIFI Bluetooth HDMI,Black Color","['newEgg', 66L]"
Slide 3G Q81 ,"['snapdeal', 48L]"
MLN12HN/A,"['flipkart', 21L]"
MGTX2LL/A,"['amazon', 41L]"
R5-571T-57Z0,"['amazon', 227L]"
MGL12LL/A,"['bestBuy', 226L]"
M753-S3,"['amazon', 173L]"
MPMG2CL/A,"['bestBuy', 30L]"
yoga 710,"['amazon', 473L]"
ME8QIBP16GBPRP,"['amazon', 354L, 'source', 65L]"
ME8QIBP16GBMAG,"['amazon', 413L, 'source', 63L]"
Created T7 best selling 7.0-inch IPS screen HD quad-core 7.0-inch dual sim 3G mobile tablet computer 1280 * 800 screen resolution(white),"['newEgg', 317L, 'newEgg', 379L, 'newEgg', 477L, 'newEgg', 485L]"
HP 10 1901 Tablet India,"['flipkart', 60L, 'newEgg', 141L, 'newEgg', 143L, 'newEgg', 145L, 'newEgg', 392L, 'newEgg', 418L, 'newEgg', 498L, 'newEgg', 537L, 'amazon', 326L, 'amazon', 536L]"
ML2M2CL/A,"['bestBuy', 148L]"
"Indigi® 2-in-1 Tablet PC + Unlocked 3G Phone 7"" TouchScreen Android 4.4 Bluetooth","['newEgg', 190L, 'newEgg', 246L, 'newEgg', 268L, 'newEgg', 299L]"
Z370CG-1L027A,"['flipkart', 70L]"
Lexibook Tablet Serenity for Seniors,"['overstock', 124L]"
ZA0H0022US,"['bestBuy', 257L, 'amazon', 355L]"
Dell Inspiron,"['amazon', 482L]"
SM-T800NTSAXAR,"['amazon', 345L]"
60705001,"['amazon', 178L]"
MLQ72LL/A,"['bestBuy', 126L]"
SBX3,"['bestBuy', 286L]"
MQEF2CL/A,"['bestBuy', 130L]"
Apple MF432LL/A iPad Mini - WiFi 16GB - Space Gray,"['newEgg', 528L]"
Classes 9 to 10,"['flipkart', 14L]"
"Indigi® White 7"" Android 4.2 JB Dual Core Tablet PC Premium Leather Back + Keyboard Case","['newEgg', 241L, 'newEgg', 257L, 'newEgg', 270L, 'newEgg', 281L, 'newEgg', 285L, 'newEgg', 288L, 'newEgg', 292L, 'newEgg', 294L]"
Gear Head BC4000BLK Gear Head Duraflex Back Cover for iPad 2 and iPad Gen 3/4 - iPad - Black,"['overstock', 12L]"
DQQ-00001,"['amazon', 148L]"
Mobile Edge MEIDF1 Mobile Edge Deluxe Carrying Case (Portfolio) for iPad - Black - Faux Leather - Handle,"['overstock', 125L]"
MLMQ2CL/A,"['bestBuy', 140L, 'bestBuy', 232L]"
"Smart Study Tab, Class 3rd, EW-200","['flipkart', 143L]"
TZ5-00001,"['bestBuy', 81L]"
TZ5-00002,"['bestBuy', 86L]"
"Lenovo TAB3 10 Plus ZA0X0047US MTK MT8161 (1.30 GHz) 2 GB Memory 16 GB eMMC 10.1"" 1920 x 1200 Tablet PC Android 6.0 (Marshmallow) Slate Black","['newEgg', 13L]"
Created X8s best-selling Bluetooth 4.0 LTPS high-definition screen speed eight-core processor 2GB RAM 8.0-inch dual card dual standby 3G phone tablet screen resolution 1280 * 800(silver),"['newEgg', 157L, 'newEgg', 407L]"
